i;j;p_ij;v;p_ij_ub
0;0;1;0;1
1;0;0.666749933;-1;0.666749933
1;3;0.333000567;2;0.9997505
1;4;0.0002493;3;0.9999998
1;5;1.00E-07;4;0.9999999
1;6;1.00E-07;5;1
2;0;0.3334165;-2;0.3334165
2;3;0.6663346;1;0.9997511
2;4;0.0002486;2;0.9999997
2;5;1.00E-07;3;0.9999998
2;6;1.00E-07;4;0.9999999
2;7;1.00E-07;5;1
3;0;0.147338915;-3;0.147338915
3;3;0.511339453;0;0.658678368
3;4;0.255081228;1;0.913759596
3;5;0.073041044;2;0.98680064
3;6;0.012005353;3;0.998805993
3;7;0.001132667;4;0.999938659
3;8;6.13E-05;5;1
4;0;0.045995212;-4;0.045995212
4;3;0.314047011;-1;0.360042223
4;4;0.314047011;0;0.674089234
4;5;0.198700339;1;0.872789573
4;6;0.090774859;2;0.963564433
4;7;0.028970489;3;0.992534921
4;8;0.00645906;4;0.998993981
4;9;0.001006019;5;1
5;0;0.003330903;-5;0.003330903
5;3;0.146677645;-2;0.150008548
5;4;0.23908883;-1;0.389097378
5;5;0.264780149;0;0.653877527
5;6;0.199224291;1;0.853101819
5;7;0.101842691;2;0.95494451
5;8;0.035371065;3;0.990315575
5;9;0.00834636;4;0.998661935
5;10;0.001338065;5;1
6;3;0.034374945;-3;0.034374945
6;4;0.110485178;-2;0.144860123
6;5;0.221327031;-1;0.366187154
6;6;0.276333351;0;0.642520505
6;7;0.215030751;1;0.857551256
6;8;0.104288465;2;0.961839721
6;9;0.031523931;3;0.993363652
6;10;0.005938993;4;0.999302645
6;11;0.000697355;5;1
7;3;0.005354551;-4;0.005354551
7;4;0.030321008;-3;0.035675559
7;5;0.104577478;-2;0.140253037
7;6;0.219688167;-1;0.359941204
7;7;0.281092422;0;0.641033626
7;8;0.21906126;1;0.860094886
7;9;0.10398148;2;0.964076366
7;10;0.030062174;3;0.994138539
7;11;0.005293693;4;0.999432232
7;12;0.000567768;5;1
8;3;0.000550166;-5;0.000550166
8;4;0.005199144;-4;0.005749311
8;5;0.029826732;-3;0.035576043
8;6;0.103876064;-2;0.139452107
8;7;0.219614685;-1;0.359066791
8;8;0.281866418;0;0.640933209
8;9;0.219614684;1;0.860547893
8;10;0.103876064;2;0.964423957
8;11;0.029826732;3;0.994250689
8;12;0.005199144;4;0.999449834
8;13;0.000550166;5;1
