"i";"j";"p";"v";"p_ij_ub"
0;0;1;0;1
1;0;0.775078850966306;-1;0.775078851
1;3;0.0873643732150699;2;0.8624432242
1;4;0.0507561027140072;3;0.9131993269
1;5;0.0323385880305859;4;0.9455379149
1;6;0.0225960604169355;5;0.9681339753
1;7;0.0173150304125461;6;0.9854490058
1;8;0.0145509942445495;7;1
2;0;0.466273934936656;-2;0.4662739349
2;3;0.279675530746938;1;0.7459494657
2;4;0.153310732140879;2;0.8992601978
2;5;0.0677559545461165;3;0.9670161524
2;6;0.0241423308820078;4;0.9911584833
2;7;0.00693533974480341;5;0.998093823
2;8;0.00160625006397651;6;0.9997000731
2;9;0.000299926938622641;7;1
3;0;0.2514396179234;-3;0.2514396179
3;3;0.319582288813207;0;0.5710219067
3;4;0.222383188160346;1;0.7934050949
3;5;0.124028833888839;2;0.9174339288
3;6;0.0554427577918675;3;0.9728766866
3;7;0.0198640787507339;4;0.9927407653
3;8;0.00570418407267749;5;0.9984449494
3;9;0.00131286510225821;6;0.9997578145
3;10;0.000242185496671766;7;1
4;0;0.11883808535773;-4;0.1188380854
4;3;0.250647150620782;-1;0.369485236
4;4;0.250647150620782;0;0.6201323866
4;5;0.177463619860471;1;0.7975960065
4;6;0.10997668466214;2;0.9075726911
4;7;0.0565733756802152;3;0.9641460668
4;8;0.024157041582993;4;0.9883031084
4;9;0.00856240154780081;5;0.9968655099
4;10;0.00251922871427239;6;0.9993847386
4;11;0.000615261352813525;7;1
5;0;0.0401827877495497;-5;0.0401827877
5;3;0.179313386247809;-2;0.219496174
5;4;0.202811782200345;-1;0.4223079562
5;5;0.202811782200345;0;0.6251197384
5;6;0.160524650925968;1;0.7856443893
5;7;0.10826452064059;2;0.89390891
5;8;0.0610821932807283;3;0.9549911032
5;9;0.02882883742158;4;0.9838199407
5;10;0.0113821335471932;5;0.9952020742
5;11;0.00375927652915892;6;0.9989613507
5;12;0.001038649256734;7;1
6;0;0.00743519626950441;-6;0.0074351963
6;3;0.0921748581044173;-3;0.0996100544
6;4;0.143107106403066;-2;0.2427171608
6;5;0.181976069118658;-1;0.4246932299
6;6;0.189527270634511;0;0.6142205005
6;7;0.161671508187108;1;0.7758920087
6;8;0.112953482596889;2;0.8888454913
6;9;0.064635351293579;3;0.9534808426
6;10;0.0302931862465775;4;0.9837740289
6;11;0.011628511845622;5;0.9954025407
6;12;0.00365601272144729;6;0.9990585534
6;13;0.000941446578620274;7;1
7;0;0.000816555450940256;-7;0.0008165555
7;3;0.0335198248869523;-4;0.0343363803
7;4;0.0732122774508083;-3;0.1075486578
7;5;0.127239266378111;-2;0.2347879242
7;6;0.175959801108794;-1;0.4107477253
7;7;0.193624732910252;0;0.6043724582
7;8;0.1695365194805;1;0.7739089777
7;9;0.118119271295393;2;0.892028249
7;10;0.0654837185989952;3;0.9575119676
7;11;0.0288869015422476;4;0.9863988691
7;12;0.0101396667400092;5;0.9965385358
7;13;0.00283205291445159;6;0.9993705888
7;14;0.000629411242544927;7;1
8;3;0.00969261359229456;-5;0.0096926136
8;4;0.0287834120189139;-4;0.0384760256
8;5;0.0670427601983025;-3;0.1055187858
8;6;0.122481285201496;-2;0.228000071
8;7;0.17550755653052;-1;0.4035076275
8;8;0.197255963517755;0;0.6007635911
8;9;0.173889236469955;1;0.7746528275
8;10;0.120232948063064;2;0.8948857756
8;11;0.0652052445292257;3;0.9600910201
8;12;0.0277363811520175;4;0.9878274013
8;13;0.00925391065205796;5;0.9970813119
8;14;0.00242163700736362;6;0.9995029489
8;15;0.00049705106703526;7;1
9;3;0.00229656840119751;-6;0.0022965684
9;4;0.00898164215601275;-5;0.0112782106
9;5;0.0274083248490743;-4;0.0386865354
9;6;0.065261893371444;-3;0.1039484288
9;7;0.121251546485271;-2;0.2251999753
9;8;0.175778331583768;-1;0.4009783068
9;9;0.198835454298554;0;0.5998137611
9;10;0.175498233148548;1;0.7753119943
9;11;0.120865431624158;2;0.8961774259
9;12;0.064950410460511;3;0.9611278364
9;13;0.0272340432902083;4;0.9883618797
9;14;0.00891030980728823;5;0.9972721895
9;15;0.00227469839123463;6;0.9995468879
9;16;0.000453112132729988;7;1
10;3;0.000442322417578984;-7;0.0004423224
10;4;0.00223758007215499;-6;0.0026799025
10;5;0.00882072767153136;-5;0.0115006302
10;6;0.0270967044207853;-4;0.0385973346
10;7;0.0648656439098926;-3;0.1034629785
10;8;0.121003854700935;-2;0.2244668332
10;9;0.175901639860718;-1;0.4003684731
10;10;0.199263054403837;0;0.5996315275
10;11;0.175901639502279;1;0.775533167
10;12;0.121003854551231;2;0.8965370215
10;13;0.0648656436716429;3;0.9614026652
10;14;0.0270967043606954;4;0.9884993695
10;15;0.00882072798999298;5;0.9973200975
10;16;0.0022375798904412;6;0.9995576774
10;17;0.000442322576283315;7;1
