i;j;p;v;p_int_ub
0;0;1;0;1
1;0;0.73446954;-1;0.73446954
1;3;0.13672019;2;0.87118973
1;4;0.07279631;3;0.94398604
1;5;0.03742956;4;0.9814156
1;6;0.0185844;5;1
2;0;0.40880704;-2;0.40880704
2;3;0.40664356;1;0.8154506
2;4;0.14762399;2;0.96307459
2;5;0.03231882;3;0.99539341
2;6;0.00426687;4;0.99966028
2;7;0.00033972;5;1
3;0;0.18737598;-3;0.18737598
3;3;0.5;0;0.68737598
3;4;0.15629816;1;0.84367414
3;5;0.09081388;2;0.93448801
3;6;0.04324201;3;0.97773003
3;7;0.01687388;4;0.99460391
3;8;0.00539609;5;1
4;0;0.09146068;-4;0.09146068
4;3;0.1534042;-1;0.24486488
4;4;0.5;0;0.74486488
4;5;0.10745598;1;0.85232086
4;6;0.07288274;2;0.9252036
4;7;0.04296852;3;0.96817212
4;8;0.02201951;4;0.99019163
4;9;0.00980837;5;1
5;0;0.03934302;-5;0.03934302
5;3;0.10580374;-2;0.14514677
5;4;0.1142707;-1;0.25941746
5;5;0.5;0;0.75941746
5;6;0.09122979;1;0.85064725
5;7;0.06743799;2;0.91808523
5;8;0.04393229;3;0.96201753
5;9;0.02522171;4;0.98723924
5;10;0.01276076;5;1
6;3;0.09063278;-3;0.09063278
6;4;0.09217047;-2;0.18280325
6;5;0.09217047;-1;0.27497372
6;6;0.5;0;0.77497372
6;7;0.07126272;1;0.84623644
6;8;0.05759409;2;0.90383053
6;9;0.04378668;3;0.94761721
6;10;0.03131516;4;0.97893236
6;11;0.02106764;5;1
7;3;0.03393943;-4;0.03393943
7;4;0.05458754;-3;0.08852697
7;5;0.0760716;-2;0.16459858
7;6;0.09185269;-1;0.25645127
7;7;0.5;0;0.75645127
7;8;0.0871066;1;0.84355787
7;9;0.06841336;2;0.91197123
7;10;0.0465555;3;0.95852672
7;11;0.02744993;4;0.98597665
7;12;0.01402335;5;1
8;3;0.01158491;-5;0.01158491
8;4;0.02539548;-4;0.03698039
8;5;0.04675981;-3;0.0837402
8;6;0.07231718;-2;0.15605737
8;7;0.09394263;-1;0.25
8;8;0.5;0;0.75
8;9;0.09394263;1;0.84394263
8;10;0.07231718;2;0.91625981
8;11;0.04675979;3;0.96301961
8;12;0.02539548;4;0.98841508
8;13;0.01158492;5;1
