i;j;p;v;p_int_ub;type
0;0;1;0;1;all
1;0;0.24006614;-1;0.24006614;all
1;0.5;0.24006614;-0.5;0.48013228;all
1;1;0.24006615;0;0.72019843;all
1;1.5;0.10377025;0.5;0.82396868;all
1;2;0.06682983;1;0.89079851;all
1;2.5;0.04250929;1.5;0.9333078;all
1;3;0.02670627;2;0.96001407;all
1;3.5;0.01657137;2.5;0.97658544;all
1;4;0.01015593;3;0.98674137;all
1;4.5;0.00614748;3.5;0.99288885;all
1;5;0.00367527;4;0.99656412;all
1;5.5;0.0021702;4.5;0.99873432;all
1;6;0.00126568;5;1;all
5;0;0.00000074;-5;0.00000074;all
5;0.5;0.000008;-4.5;0.00000874;all
5;1;0.00006691;-4;0.00007565;all
5;1.5;0.00043635;-3.5;0.000512;all
5;2;0.00221596;-3;0.00272796;all
5;2.5;0.00876423;-2.5;0.01149219;all
5;3;0.02699563;-2;0.03848782;all
5;3.5;0.06475894;-1.5;0.10324676;all
5;4;0.12098539;-1;0.22423215;all
5;4.5;0.17603243;-0.5;0.40026458;all
5;5;0.19947079;0;0.59973537;all
5;5.5;0.17603246;0.5;0.77576783;all
5;6;0.12098542;1;0.89675325;all
5;6.5;0.06475896;1.5;0.96151221;all
5;7;0.02699563;2;0.98850784;all
5;7.5;0.00876421;2.5;0.99727205;all
5;8;0.00221595;3;0.999488;all
5;8.5;0.00043635;3.5;0.99992435;all
5;9;6.691E-05;4;0.99999126;all
5;9.5;8E-06;4.5;0.99999926;all
5;10;7.4E-07;5;1;all
