i;j;p;v;p_int_ub;type
0;0;1;0;1;all
1;0;0.24385038;-1;0.24385038;all
1;0.5;0.24385039;-0.5;0.48770077;all
1;1;0.24385038;0;0.73155115;all
1;1.5;0.09817932;0.5;0.82973047;all
1;2;0.06229716;1;0.89202763;all
1;2.5;0.03952907;1.5;0.9315567;all
1;3;0.02508215;2;0.95663885;all
1;3.5;0.01591524;2.5;0.97255409;all
1;4;0.01009861;3;0.9826527;all
1;4.5;0.00640781;3.5;0.98906051;all
1;5;0.00406591;4;0.99312642;all
1;5.5;0.00257992;4.5;0.99570634;all
1;6;0.00163702;5;0.99734336;all
1;6.5;0.00103873;5.5;0.99838209;all
1;7;0.0006591;6;0.99904119;all
1;7.5;0.00041822;6.5;0.99945941;all
1;8;0.00026537;7;0.99972478;all
1;8.5;0.00016838;7.5;0.99989316;all
1;9;0.00010684;8;1;all
8;0;0.00000002;-8;0.00000002;all
8;0.5;0.00000011;-7.5;0.00000013;all
8;1;0.00000067;-7;0.0000008;all
8;1.5;0.00000365;-6.5;0.00000445;all
8;2;0.00001741;-6;0.00002186;all
8;2.5;0.00007329;-5.5;0.00009515;all
8;3;0.00027229;-5;0.00036744;all
8;3.5;0.00089281;-4.5;0.00126025;all
8;4;0.00258341;-4;0.00384366;all
8;4.5;0.00659676;-3.5;0.01044042;all
8;5;0.01486632;-3;0.02530674;all
8;5.5;0.02956514;-2.5;0.05487188;all
8;6;0.05188843;-2;0.10676031;all
8;6.5;0.0803664;-1.5;0.18712671;all
8;7;0.10984787;-1;0.29697458;all
8;7.5;0.13250169;-0.5;0.42947627;all
8;8;0.14104742;0;0.57052369;all
8;8.5;0.13250174;0.5;0.70302543;all
8;9;0.10984779;1;0.81287322;all
8;9.5;0.08036641;1.5;0.89323963;all
8;10;0.05188846;2;0.94512809;all
8;10.5;0.02956517;2.5;0.97469326;all
8;11;0.01486634;3;0.9895596;all
8;11.5;0.00659684;3.5;0.99615644;all
8;12;0.00258335;4;0.99873979;all
8;12.5;0.00089278;4.5;0.99963257;all
8;13;0.00027228;5;0.99990485;all
8;13.5;7.329E-05;5.5;0.99997814;all
8;14;1.741E-05;6;0.99999555;all
8;14.5;3.65E-06;6.5;0.9999992;all
8;15;6.7E-07;7;0.99999987;all
8;15.5;1.1E-07;7.5;0.99999998;all
8;16;2E-08;8;1;all
